37056	NG
37057	LS
37058	NG
37059	AO
37060	ZA
37061	KE
37062	AO
37063	UG
37064	MZ
37066	EG
37068	ZA
37069	EG
37073	BF
37074	GH
37075	UG
37077	NG
37078	ZA
37079	ZA
37081	AO
36972	SD
29340	GH
12556	KE
37084	TZ
36988	SL
21003	LY
37085	TZ
36973	CI
33765	TZ
37086	CF
37087	GH
37088	NG
37089	CM
37090	BJ
37091	EG
37094	LR
37096	NA
37098	MW
37099	MZ
37100	MU
37101	TZ
37102	CD
37103	GH
37104	NG
37105	ZA
37106	NG
37107	TN
37108	ML
37109	KE
37110	MZ
37112	EG
37113	UG
37114	NG
37115	UG
37116	ZA
37117	SL
37118	ZA
37119	AO
37120	TZ
37122	UG
37123	ZW
37124	RW
37125	NG
37126	TZ
37127	NG
37129	KE
37130	ZA
37132	EG
37133	TZ
37134	NG
37135	MZ
37136	BJ
37137	KE
37139	MZ
37140	GH
37141	GN
37142	TZ
37143	TZ
37144	NG
37145	ZA
37146	ZM
37147	AO
37148	NG
3208	DZ
20294	UG
23549	UG
30896	KE
37149	TZ
36981	DZ
37150	ZA
37153	ZA
37048	UG
37154	ZM
37155	AO
33777	EG
37156	KE
37157	ZA
37159	ZA
37160	ZA
37161	GH
37162	GH
37163	BF
37164	SL
37165	KE
37166	KE
37167	ZA
37168	ZA
37169	GA
37170	NG
37172	ZA
37173	GQ
25818	ZA
37072	ZA
13224	KE
37175	ZA
30992	CM
33788	SD
37178	NG
37179	ZA
37180	ZA
25568	KE
37070	ZA
37182	TZ
36980	ZA
37183	ZW
37184	ZW
28683	BJ
37186	ZA
37187	MW
37188	ZA
37190	CI
37191	EG
37192	NG
37193	EG
37194	NG
37195	ZA
37196	SN
37197	SD
37198	EG
37199	ZA
37200	NG
37201	NA
37203	LR
37204	ZW
37205	NE
37206	UG
36918	DZ
37207	NG
37039	BJ
37208	SL
37209	NG
37210	KE
33764	MU
37177	MU
37181	MU
37212	GH
37213	TZ
37214	ZM
37216	GH
37218	TZ
37221	ZM
37222	NG
37223	MZ
37224	RW
37225	ZA
37226	EG
37228	RW
37229	TG
37230	NG
37231	ZA
37232	GH
37233	NE
37235	ZA
37236	ZA
37237	GH
37238	ZA
37239	ZA
37243	EG
37244	KE
37246	GA
37247	KE
37248	NG
37249	NG
37250	EG
37251	ZA
37252	EG
37254	ZA
37255	GH
37256	SD
37257	BW
37258	NG
37260	CD
37261	KE
37262	ZM
37263	GH
37264	AO
37266	ZA
37267	AO
37269	NG
37270	EG
37271	ZA
37272	AO
37273	UG
37274	KE
37275	ZA
37276	ZA
37277	ZA
32279	BW
37279	EG
19711	SZ
37280	NG
37281	CG
37282	NG
37283	ZA
37284	LY
37286	NG
37287	ZM
36990	EG
37289	GH
37292	BJ
37293	ZA
37294	MW
37296	NG
37297	NG
37298	KE
37299	LS
37300	MW
37301	MU
37302	ZA
37303	MG
37304	GH
37305	KE
37307	KE
37308	NG
37309	GM
37310	ZA
37311	ZA
37312	ZA
37313	GH
37314	ZA
37315	ZA
37316	ZA
37317	ZA
37318	AO
37319	KE
37320	GH
37322	CG
37323	GM
37324	MU
37326	SO
37327	MG
37328	NG
37329	ZW
37330	KE
37331	LS
37332	ZW
37333	ZA
37334	ZA
37335	ZA
37336	BI
37337	GQ
37338	KE
37340	NG
37341	GH
37342	MZ
37343	SC
37344	ZW
37339	EG
37345	NG
37346	KE
37347	NG
37348	EG
37349	TZ
37350	GH
37351	TN
37353	ZA
37354	KE
37355	ZW
37356	ZA
37357	ZA
37358	ZA
37359	TZ
37360	KE
